distribution,x_axis_value,mu,case,entity_id
Uniform,5,0.8044999999999998,Average,10995116278647
Uniform,6,0.8264999999999999,Worst,10995116278647
Uniform,6,0.8314999999999999,Average,10995116278647
Uniform,7,0.8625,Worst,10995116278647
Uniform,7,0.861,Average,10995116278647
Uniform,8,0.869,Worst,10995116278647
Uniform,8,0.8700000000000001,Average,10995116278647
Uniform,9,0.8885,Worst,10995116278647
Uniform,9,0.8830000000000002,Average,10995116278647
Uniform,10,0.9065000000000001,Worst,10995116278647
Uniform,10,0.9105000000000001,Average,10995116278647
Uniform,11,0.9115,Worst,10995116278647
Uniform,11,0.9094999999999999,Average,10995116278647
Uniform,12,0.9125,Worst,10995116278647
Uniform,12,0.9239999999999998,Average,10995116278647
Uniform,13,0.9295,Worst,10995116278647
Uniform,13,0.925,Average,10995116278647
Uniform,14,0.932,Worst,10995116278647
Uniform,14,0.9230000000000003,Average,10995116278647
Uniform,15,0.9344999999999999,Worst,10995116278647
Uniform,15,0.9315000000000001,Average,10995116278647
Uniform,16,0.9325000000000001,Worst,10995116278647
Uniform,16,0.9324999999999999,Average,10995116278647
Uniform,17,0.9339999999999999,Worst,10995116278647
Uniform,17,0.9460000000000001,Average,10995116278647
Uniform,18,0.9540000000000001,Worst,10995116278647
Uniform,18,0.9375,Average,10995116278647
Uniform,19,0.9545,Worst,10995116278647
Uniform,19,0.9475,Average,10995116278647
Uniform,20,0.9455000000000002,Worst,10995116278647
Uniform,20,0.9549999999999998,Average,10995116278647
Uniform,21,0.9494999999999999,Worst,10995116278647
Uniform,21,0.9530000000000001,Average,10995116278647
Uniform,22,0.9624999999999998,Worst,10995116278647
Uniform,22,0.9550000000000001,Average,10995116278647
Uniform,23,0.9615,Worst,10995116278647
Uniform,23,0.9540000000000001,Average,10995116278647
Uniform,24,0.9565000000000001,Worst,10995116278647
Uniform,24,0.9564999999999999,Average,10995116278647
Uniform,25,0.959,Worst,10995116278647
Uniform,25,0.9574999999999999,Average,10995116278647
Uniform,26,0.9625,Worst,10995116278647
Uniform,26,0.959,Average,10995116278647
Uniform,27,0.9635000000000001,Worst,10995116278647
Uniform,27,0.9569999999999999,Average,10995116278647
Uniform,28,0.976,Worst,10995116278647
Uniform,28,0.9605,Average,10995116278647
Uniform,29,0.9640000000000001,Worst,10995116278647
Uniform,29,0.961,Average,10995116278647
Uniform,30,0.9585000000000001,Worst,10995116278647
Uniform,30,0.962,Average,10995116278647
Uniform,1,0.2515,Worst,19791209301529
Uniform,1,0.25999999999999995,Average,19791209301529
Uniform,2,0.5735,Worst,19791209301529
Uniform,2,0.5475,Average,19791209301529
Uniform,3,0.6950000000000001,Worst,19791209301529
Uniform,3,0.7020000000000002,Average,19791209301529
Uniform,4,0.772,Worst,19791209301529
Uniform,4,0.751,Average,19791209301529
Uniform,5,0.818,Worst,19791209301529
Uniform,5,0.8075000000000001,Average,19791209301529
Uniform,6,0.827,Worst,19791209301529
Uniform,6,0.8454999999999998,Average,19791209301529
Uniform,7,0.8779999999999999,Worst,19791209301529
Uniform,7,0.8629999999999999,Average,19791209301529
Uniform,8,0.8859999999999999,Worst,19791209301529
Uniform,8,0.8745,Average,19791209301529
Uniform,9,0.8924999999999998,Worst,19791209301529
Uniform,9,0.8935000000000001,Average,19791209301529
Uniform,10,0.9125,Worst,19791209301529
Uniform,10,0.8940000000000001,Average,19791209301529
Uniform,11,0.9020000000000001,Worst,19791209301529
Uniform,11,0.9109999999999999,Average,19791209301529
Uniform,12,0.9259999999999999,Worst,19791209301529
Uniform,12,0.9045000000000002,Average,19791209301529
Uniform,13,0.9240000000000002,Worst,19791209301529
Uniform,13,0.933,Average,19791209301529
Uniform,14,0.9325000000000001,Worst,19791209301529
Uniform,14,0.9315,Average,19791209301529
Uniform,15,0.9355,Worst,19791209301529
Uniform,15,0.9460000000000001,Average,19791209301529
Uniform,16,0.9355,Worst,19791209301529
Uniform,16,0.9385,Average,19791209301529
Uniform,17,0.9399999999999998,Worst,19791209301529
Uniform,17,0.9374999999999998,Average,19791209301529
Uniform,18,0.9359999999999999,Worst,19791209301529
Uniform,18,0.9504999999999999,Average,19791209301529
Uniform,19,0.9444999999999999,Worst,19791209301529
Uniform,19,0.9334999999999999,Average,19791209301529
Uniform,20,0.943,Worst,19791209301529
Uniform,20,0.9440000000000002,Average,19791209301529
Uniform,21,0.9520000000000002,Worst,19791209301529
Uniform,21,0.9515,Average,19791209301529
Uniform,22,0.9579999999999999,Worst,19791209301529
Uniform,22,0.9574999999999999,Average,19791209301529
Uniform,23,0.9505000000000001,Worst,19791209301529
Uniform,23,0.9625,Average,19791209301529
Uniform,24,0.953,Worst,19791209301529
Uniform,24,0.9534999999999998,Average,19791209301529
Uniform,25,0.9574999999999999,Worst,19791209301529
Uniform,25,0.9575000000000001,Average,19791209301529
Uniform,26,0.9650000000000002,Worst,19791209301529
Uniform,26,0.9684999999999999,Average,19791209301529
Uniform,27,0.9550000000000001,Worst,19791209301529
Uniform,27,0.9664999999999999,Average,19791209301529
Uniform,28,0.9674999999999999,Worst,19791209301529
Uniform,28,0.9695,Average,19791209301529
Uniform,29,0.969,Worst,19791209301529
Uniform,29,0.9705,Average,19791209301529
Uniform,30,0.962,Worst,19791209301529
Uniform,30,0.968,Average,19791209301529
Uniform,1,0.365,Worst,8796093023493
